ENGINE_RUN_TINE (),ENGINE_RPM (),VEHICLE_SPEED (),THROTTLE (),ENGINE_LOAD (),COOLANT_TEMPERATURE (),LONG_TERM_FUEL_TRIM_BANK_1 (),SHORT_TERM_FUEL_TRIM_BANK_1 (),INTAKE_MANIFOLD_PRESSURE (),FUEL_TANK (),ABSOLUTE_THROTTLE_B (),PEDAL_D (),PEDAL_E (),COMMANDED_THROTTLE_ACTUATOR (),FUEL_AIR_COMMANDED_EQUIV_RATIO (),ABSOLUTE_BAROMETRIC_PRESSURE (),RELATIVE_THROTTLE_POSITION (),INTAKE_AIR_TEMP (),TIMING_ADVANCE (),CATALYST_TEMPERATURE_BANK1_SENSOR1 (),CATALYST_TEMPERATURE_BANK1_SENSOR2 (),CONTROL_MODULE_VOLTAGE (),COMMANDED_EVAPORATIVE_PURGE (),TIME_RUN_WITH_MIL_ON (),TIME_SINCE_TROUBLE_CODES_CLEARED (),DISTANCE_TRAVELED_WITH_MIL_ON (),RUL
0.0,0.0,17.647058,0.0,26.0,-4.6875,0.0,101.0,36.07843,49.803921,16.078432,31.764706,19.607843,0.0,101.0,0.0,26.0,5.0,438.0,300.799988,12.421,0.0,0.0,8808.0,0.0,255.0,100.0
0.0,0.0,17.647058,0.0,26.0,-4.6875,0.0,101.0,36.07843,49.803921,16.078432,31.764706,19.607843,0.0,101.0,0.0,26.0,5.0,438.0,300.799988,12.421,0.0,0.0,8808.0,0.0,255.0,99.97371188222924
0.0,0.0,19.607843,0.0,26.0,-4.6875,0.0,99.0,36.07843,49.803921,16.078432,31.764706,19.607843,0.0,101.0,0.0,26.0,5.0,438.0,300.799988,12.421,0.0,0.0,8808.0,0.0,255.0,99.94742376445846
0.0,0.0,19.607843,0.0,26.0,-4.6875,0.0,99.0,36.07843,49.803921,16.078432,31.764706,19.607843,0.0,101.0,0.0,26.0,5.0,438.0,300.799988,12.421,0.0,0.0,8808.0,0.0,255.0,99.9211356466877
0.0,0.0,19.607843,0.0,26.0,-4.6875,0.0,99.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,26.0,5.0,438.0,300.799988,11.679,0.0,0.0,8808.0,0.0,255.0,99.89484752891693
0.0,0.0,19.607843,0.0,26.0,-4.6875,0.0,99.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,26.0,5.0,438.0,300.799988,11.679,0.0,0.0,8808.0,0.0,255.0,99.86855941114617
1575.0,0.0,19.607843,26.666666,26.0,3.125,0.0,27.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,25.0,12.0,438.0,300.799988,11.679,0.0,0.0,8808.0,0.0,255.0,99.84227129337539
1575.0,0.0,19.607843,26.666666,26.0,3.125,0.0,27.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.784314,25.0,12.0,438.0,300.799988,11.679,0.0,0.0,8808.0,0.0,255.0,99.81598317560463
1575.0,0.0,19.607843,26.666666,26.0,3.125,0.0,27.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,25.0,12.0,27.199997,26.199997,12.05,0.0,0.0,8808.0,0.0,255.0,99.78969505783385
1575.0,0.0,19.607843,23.921568,26.0,3.125,0.0,27.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,25.0,12.0,27.199997,26.199997,12.05,0.0,0.0,8808.0,0.0,255.0,99.76340694006309
1685.0,0.0,19.607843,23.921568,26.0,3.125,0.0,25.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,25.0,18.0,27.199997,26.199997,12.05,0.0,0.0,8808.0,0.0,255.0,99.73711882229233
1685.0,0.0,19.607843,23.921568,26.0,3.125,0.0,25.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,25.0,18.0,29.099998,26.199997,14.14,0.0,0.0,8808.0,0.0,255.0,99.71083070452156
1685.0,0.0,19.607843,23.921568,26.0,3.125,0.0,25.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,25.0,18.0,29.099998,26.199997,14.14,0.0,0.0,8808.0,0.0,255.0,99.6845425867508
1200.0,0.0,20.0,32.549019,26.0,3.125,0.0,34.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,26.0,17.0,29.099998,26.199997,14.14,0.0,0.0,8808.0,0.0,255.0,99.65825446898002
1200.0,0.0,20.0,32.549019,26.0,3.125,0.0,34.0,36.07843,52.156864,16.078432,31.764706,19.607843,0.0,101.0,0.392157,26.0,17.0,29.099998,26.199997,14.14,0.0,0.0,8808.0,0.0,255.0,99.63196635120926
1200.0,0.0,20.0,32.549019,26.0,3.125,0.0,34.0,36.07843,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,26.0,17.0,34.800003,26.199997,14.335,0.0,0.0,8808.0,0.0,255.0,99.60567823343848
1200.0,0.0,20.0,32.549019,26.0,3.125,0.0,34.0,36.07843,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,26.0,17.0,34.800003,26.199997,14.335,0.0,0.0,8808.0,0.0,255.0,99.57939011566772
1313.25,0.0,20.392157,32.941177,27.0,3.125,0.0,33.0,36.07843,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,26.0,6.0,34.800003,26.199997,14.335,0.0,0.0,8808.0,0.0,255.0,99.55310199789696
1313.25,0.0,20.392157,32.941177,27.0,3.125,0.0,33.0,35.686275,52.549019,16.078432,31.764706,20.0,0.0,101.0,0.784314,26.0,6.0,34.800003,26.199997,14.335,0.0,0.0,8808.0,0.0,255.0,99.52681388012618
1313.25,0.0,20.392157,32.941177,27.0,3.125,0.0,33.0,35.686275,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,6.0,43.199997,26.199997,14.296,0.0,0.0,8808.0,0.0,255.0,99.50052576235542
1313.25,0.0,20.392157,31.372549,28.0,3.125,0.0,33.0,35.686275,52.941177,16.078432,31.764706,20.392157,0.0,101.0,1.176471,26.0,6.0,43.199997,26.199997,14.296,0.0,0.0,8808.0,0.0,255.0,99.47423764458465
